"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"38",0.755,0.522,-4.368,1,0.0575,0,0.925,89.96,157560,FALSE,80,"Sunflower - Spider-Man: Into the Spider-Verse","D","2019-09-06","major","D major"
"39",0.783,0.727,-3.454,0,0.389,2.46e-05,0.558,180.067,199112,FALSE,85,"Hawái","F#","2020-08-21","minor","F# minor"
"40",0.88,0.751,-4.258,0,0.0874,6.43e-05,0.884,117.948,157605,FALSE,85,"Ride It","G","2019-07-26","minor","G minor"
"41",0.841,0.728,-3.37,1,0.0484,0,0.43,130.049,243836,TRUE,86,"goosebumps","G","2016-09-16","major","G major"
"42",0.723,0.704,-7.088,0,0.0571,0.00109,0.684,105.095,214934,TRUE,49,"RITMO (Bad Boys For Life)","A#","2020-06-18","minor","A# minor"
"43",0.716,0.537,-7.648,0,0.0514,0,0.28,129.979,165977,TRUE,83,"THE SCOTTS","C","2020-04-24","minor","C minor"
"44",0.607,0.829,-4.074,1,0.379,0,0.685,96.172,295176,TRUE,82,"Safaera","D","2020-02-28","major","D major"
"45",0.351,0.296,-10.109,0,0.0333,0,0.12,115.284,200185,FALSE,87,"lovely (with Khalid)","E","2018-04-19","minor","E minor"
"46",0.511,0.566,-7.23,0,0.2,0,0.218,83.903,239835,TRUE,87,"Lucid Dreams","F#","2018-12-10","minor","F# minor"
"47",0.597,0.45,-6.658,1,0.0418,0,0.537,178.765,228482,FALSE,86,"Stuck with U (with Justin Bieber)","G#","2020-05-08","major","G# major"
"48",0.464,0.473,-10.086,1,0.129,0,0.604,75.801,208687,FALSE,85,"If the World Was Ending - feat. Julia Michaels","C#","2019-10-17","major","C# major"
"49",0.647,0.844,-3.756,1,0.0457,0.000658,0.746,146.967,193829,FALSE,79,"Physical","C","2020-03-27","major","C major"
"50",0.834,0.73,-3.714,1,0.222,0,0.446,155.008,312820,TRUE,85,"SICKO MODE","G#","2018-08-03","major","G# major"
"51",0.878,0.619,-5.56,1,0.102,0,0.639,136.041,157066,FALSE,80,"Old Town Road - Remix","F#","2019-06-21","major","F# major"
"52",0.701,0.425,-10.965,1,0.375,0.13,0.562,135.128,194087,FALSE,86,"bad guy","G","2019-03-29","major","G major"
"53",0.759,0.548,-6.049,0,0.029,0,0.749,116.967,190799,FALSE,80,"Señorita","A","2019-06-19","minor","A minor"
"54",0.778,0.317,-10.732,0,0.334,0,0.327,140.048,178626,TRUE,85,"7 rings","C#","2019-02-08","minor","C# minor"
"55",0.755,0.522,-4.368,1,0.0575,0,0.925,89.96,157560,FALSE,80,"Sunflower - Spider-Man: Into the Spider-Verse","D","2019-09-06","major","D major"
"56",0.794,0.793,-4.521,0,0.0842,0,0.677,123.941,183290,FALSE,84,"Don't Start Now","B","2019-10-31","minor","B minor"
"57",0.752,0.488,-7.05,1,0.0705,9.11e-06,0.533,136.041,201660,TRUE,81,"Without Me","F#","2018-10-04","major","F# major"
"58",0.64,0.647,-8.114,0,0.186,0,0.546,92.979,197866,FALSE,75,"Beautiful People (feat. Khalid)","F","2019-07-12","minor","F minor"
"59",0.572,0.385,-6.362,1,0.0308,0,0.323,95.799,215733,FALSE,83,"Shallow","G","2018-10-05","major","G major"
"60",0.645,0.862,-4.757,0,0.0965,0,0.798,119.991,229773,FALSE,81,"Boy With Luv (feat. Halsey)","B","2019-04-12","minor","B minor"
"61",0.501,0.405,-5.679,1,0.0319,0,0.446,109.891,182160,FALSE,89,"Someone You Loved","C#","2019-05-17","major","C# major"
"62",0.692,0.809,-4.198,1,0.0602,0,0.864,123.911,190800,FALSE,77,"If I Can't Have You","D","2019-05-03","major","D major"
"63",0.599,0.733,-7.058,1,0.203,0,0.534,102.211,162582,FALSE,13,"i'm so tired...","B","2019-01-24","major","B major"
"64",0.842,0.734,-5.065,0,0.0588,0,0.952,137.958,181026,FALSE,81,"Sucker","C#","2019-06-07","minor","C# minor"
"65",0.798,0.676,-5.041,1,0.0442,0,0.843,101.956,219946,FALSE,76,"I Don't Care (with Justin Bieber)","F#","2019-07-12","major","F# major"
"66",0.477,0.682,-4.931,0,0.0925,0,0.345,110.567,202204,FALSE,78,"How Do You Sleep?","C#","2019-07-19","minor","C# minor"
"67",0.717,0.653,-5.634,1,0.0658,0,0.412,106.966,207320,TRUE,83,"thank u, next","C#","2019-02-08","major","C# major"
"68",0.505,0.34,-9.005,1,0.0438,0,0.0916,101.993,206458,FALSE,18,"Lose You To Love Me","E","2019-10-23","major","E major"
"69",0.505,0.428,-5.604,1,0.221,0,0.618,175.813,157492,FALSE,5,"Easier","F","2019-05-23","major","F major"
"70",0.77,0.882,-4.792,1,0.0602,0,0.385,99.991,223523,FALSE,76,"Never Really Over","G#","2019-05-31","major","G# major"
"71",0.74,0.498,-6.684,0,0.0456,0.00282,0.652,98.016,207038,FALSE,68,"Liar","B","2019-12-06","minor","B minor"
"72",0.654,0.63,-4.644,1,0.0259,0,0.43,89.991,167693,FALSE,83,"10,000 Hours (with Justin Bieber)","A#","2019-10-04","major","A# major"
"73",0.687,0.792,-2.749,1,0.0452,0,0.671,100.015,214289,FALSE,83,"Happier","F","2018-08-17","major","F major"
"74",0.674,0.881,-2.853,1,0.147,3.01e-06,0.234,98.994,178480,FALSE,79,"Don't Call Me Up","A","2019-01-18","major","A major"
"75",0.59,0.642,-3.87,1,0.122,0,0.651,107.356,174444,FALSE,75,"Post Malone (feat. RANI)","G","2019-05-24","major","G major"
"76",0.695,0.762,-3.497,1,0.0395,0.00244,0.553,120.042,215280,FALSE,87,"Circles","C","2019-09-06","major","C major"
"77",0.4,0.795,-3.731,0,0.461,0,0.702,190.097,186106,TRUE,77,"boyfriend (with Social House)","A#","2019-08-02","minor","A# minor"
"78",0.652,0.557,-5.714,0,0.0318,0,0.483,150.073,169353,FALSE,82,"Let Me Down Slowly","C#","2018-11-16","minor","C# minor"
"79",0.351,0.296,-10.109,0,0.0333,0,0.12,115.284,200185,FALSE,87,"lovely (with Khalid)","E","2018-04-19","minor","E minor"
"80",0.719,0.704,-4.724,1,0.0476,0,0.628,133.002,187436,FALSE,36,"Sweet but Psycho","C#","2018-08-17","major","C# major"
"81",0.738,0.861,-4.141,1,0.237,0.00175,0.58,131.974,189052,FALSE,76,"Kill This Love","D","2019-04-05","major","D major"
"82",0.791,0.565,-3.933,0,0.0439,0,0.181,99.961,156346,FALSE,75,"Here With Me","F","2019-03-08","minor","F minor"
"83",0.632,0.686,-7.665,0,0.243,0,0.329,89.949,170769,FALSE,72,"Eastside (with Halsey & Khalid)","F#","2018-12-07","minor","F# minor"
"84",0.741,0.52,-7.513,1,0.0656,1.97e-06,0.347,102.998,171029,FALSE,80,"Dancing With A Stranger (with Normani)","G#","2019-01-11","major","G# major"
"85",0.726,0.554,-5.29,0,0.0917,0,0.335,169.999,190440,TRUE,78,"break up with your girlfriend, i'm bored","F","2019-02-08","minor","F minor"
"86",0.631,0.803,-2.974,0,0.155,0,0.62,198.065,169813,FALSE,5,"Mad Love","C","2019-08-02","minor","C minor"
"87",0.901,0.4,-8.575,1,0.126,0,0.346,135.984,197573,FALSE,74,"Talk (feat. Disclosure)","C","2019-04-05","major","C major"
"88",0.682,0.656,-4.67,1,0.0435,0,0.607,130.089,183026,FALSE,30,"So Am I","F#","2019-03-07","major","F# major"
"89",0.824,0.588,-6.4,0,0.0924,0.000104,0.513,98.027,209438,FALSE,87,"Dance Monkey","F#","2019-10-17","minor","F# minor"
"90",0.599,0.887,-3.967,1,0.0984,1.21e-06,0.881,170.918,193837,FALSE,73,"Motivation","E","2019-08-16","major","E major"
"91",0.771,0.671,-5.617,1,0.0553,0,0.714,85.026,171360,FALSE,78,"You Need To Calm Down","D","2019-08-23","major","D major"
"92",0.58,0.653,-3.818,1,0.0745,0,0.175,150.231,174960,TRUE,11,"Goodbyes (Feat. Young Thug)","F","2019-07-05","major","F major"
"93",0.46,0.8,-3.584,1,0.05,6.16e-06,0.553,102.46,220396,FALSE,69,"What I Like About You (feat. Theresa Rex)","C#","2019-03-22","major","C# major"
"94",0.442,0.585,-10.332,0,0.0964,0.391,0.116,97.565,229412,FALSE,71,"Better","C","2018-09-14","minor","C minor"
"95",0.688,0.53,-5.507,1,0.0333,0,0.162,106.958,205686,FALSE,79,"Hold Me While You Wait","B","2019-05-17","major","B major"
"96",0.802,0.645,-6.181,0,0.0715,0,0.376,100.001,157202,FALSE,75,"SOS (feat. Aloe Blacc)","F","2019-06-06","minor","F minor"
"97",0.579,0.904,-2.729,1,0.0618,0,0.681,82.014,190946,FALSE,81,"High Hopes","F","2018-06-22","major","F major"
"98",0.795,0.496,-5.883,1,0.0722,0,0.874,94.01,183000,FALSE,73,"Only Human","C","2019-06-07","major","C major"
"99",0.842,0.801,-4.167,0,0.228,4.82e-06,0.617,95.881,212500,TRUE,69,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","G#","2019-07-25","minor","G# minor"
"100",0.88,0.751,-4.258,0,0.0874,6.43e-05,0.884,117.948,157605,FALSE,85,"Ride It","G","2019-07-26","minor","G minor"
"101",0.703,0.594,-6.146,0,0.0752,0,0.475,153.848,114893,FALSE,73,"Panini","F","2019-09-13","minor","F minor"
"102",0.829,0.539,-7.359,0,0.208,1.78e-06,0.388,99.96,149546,TRUE,81,"Wow.","B","2019-09-06","minor","B minor"
"103",0.747,0.57,-6.711,1,0.081,0,0.65,133.992,200889,TRUE,73,"Please Me","C#","2019-02-15","major","C# major"
"104",0.359,0.543,-7.582,1,0.0919,1.58e-05,0.453,68.534,221306,FALSE,77,"Lover","G","2019-08-23","major","G major"
"105",0.736,0.308,-7.83,1,0.0677,0,0.361,111.202,220492,FALSE,82,"Bruises","E","2019-05-17","major","E major"
"106",0.61,0.725,-5.131,1,0.15,0,0.291,146.163,201787,TRUE,76,"Nights Like This (feat. Ty Dolla $ign)","G#","2019-02-22","major","G# major"
"107",0.815,0.518,-6.594,0,0.0897,0,0.877,151.891,177666,FALSE,77,"3 Nights","G","2018-10-16","minor","G minor"
"108",0.68,0.578,-5.804,1,0.04,0,0.341,145.038,231266,TRUE,81,"Better Now","A#","2018-04-27","major","A# major"
"109",0.367,0.111,-14.084,1,0.0972,3.97e-05,0.198,82.642,196077,FALSE,84,"when the party's over","E","2019-03-29","major","E major"
"110",0.53,0.538,-6.672,1,0.0335,2.83e-06,0.288,148.051,233654,FALSE,73,"Slide Away","F","2019-08-16","major","F major"
"111",0.716,0.823,-5.313,0,0.0495,0,0.91,151.957,161746,FALSE,66,"Antisocial (with Travis Scott)","F","2019-07-12","minor","F minor"
